day,is_predicted_buyback_day,clv_mean,clv_p,n,rel_volume_median
1,False,0.036289546896179144,1.200974610523541e-09,31687,2.0531654424623995
2,False,0.024485831231771168,0.000525702519380202,31690,1.4910952501965271
3,False,0.033790452871162883,2.1406821229154985e-06,31672,1.285337353938937
4,False,0.02961710741626127,0.00013413306219551635,31678,1.1954267780081824
5,True,0.023315007364488625,0.0049270369015427225,31666,1.1483973090621291
6,False,0.03847148068943042,2.0975350937463097e-06,31663,1.1138044948725807
7,False,0.04705511682177958,4.6141841004918296e-10,31661,1.080735249314512
8,False,0.04265501974981582,2.2190036336446903e-08,31672,1.0578338590956888
9,False,0.0337360224181511,2.4689203596071046e-05,31664,1.0518481505345239
10,False,0.02938532109392156,0.0004040836896476745,31684,1.0442731320739913
